ID,DIR,LENGTH,ID1,DIR1,LENGTH1,OSMID,REDEMODOSI,NAME,TYPE,CONDITION,HAZMAT,NUMLANES,WIDTH,ID_ZONA,ZONA_VIA,geometry,route_id,route_type,origin_coords,destination_coords,waypoints_generated,api_status,total_distance_km,total_duration_min,total_duration_hours,number_of_legs,overview_polyline,api_error,leg_1_distance_km,leg_1_duration_min,leg_1_start_addr,leg_1_end_addr,leg_2_distance_km,leg_2_duration_min,leg_2_start_addr,leg_2_end_addr,leg_3_distance_km,leg_3_duration_min,leg_3_start_addr,leg_3_end_addr,leg_4_distance_km,leg_4_duration_min,leg_4_start_addr,leg_4_end_addr,variação
245,0,0.866996,421189,0,0.08,251153406,0,Rua JosÃ© Manna JÃºnior,secondary,,,2,3.0,685,685_Rua JosÃ© Manna JÃºnior,"LINESTRING (-43.017402 -22.808331, -43.017964 -22.809325, -43.018335 -22.810018, -43.018714 -22.810718, -43.019338 -22.811877, -43.019645 -22.812478, -43.019945 -22.813056, -43.02026 -22.813651, -43.020485 -22.814078, -43.0206 -22.814261, -43.020656 -22.81439, -43.020705 -22.814471, -43.020766 -22.814539, -43.020859 -22.81461, -43.021292 -22.814849, -43.021364 -22.814906, -43.021422 -22.814966, -43.021491 -22.81508)",route_358,LineString,"-22.808331,-43.017402","-22.815080,-43.021491",3,SUCCESS,1.44,4.33,0.07,4,|vejC`zpeG|I`E~ClAlEnBtBt@xB|@`EhBVLPJLo@ViA`@TxAx@ZZj@jAc@j@Wj@G^WKECQSq@wA[a@g@Wd@yBzAv@x@n@\p@N\MLORYn@K`@,,0.12,0.4,"Av. Domingos Damasceno Duarte, 990 - Trindade, São Gonçalo - RJ, 24456-422, Brasil","R. Aracajú, 617 - Trindade, São Gonçalo - RJ, 24456-150, Brasil",0.59,1.47,"R. Aracajú, 617 - Trindade, São Gonçalo - RJ, 24456-150, Brasil","Av. José Manna Júnior, 279 - Trindade, São Gonçalo - RJ, 24456-000, Brasil",0.33,1.15,"Av. José Manna Júnior, 279 - Trindade, São Gonçalo - RJ, 24456-000, Brasil","300 - R. Dr. Nilo Peçanha, 1093 - Mutondo, São Gonçalo - RJ, 24455-045, Brasil",0.4,1.32,"300 - R. Dr. Nilo Peçanha, 1093 - Mutondo, São Gonçalo - RJ, 24455-045, Brasil","R. Dr. Nilo Peçanha, 1081 - Nova Cidade, São Gonçalo - RJ, 24445-300, Brasil",0.6020805555555556
1614,0,0.02693,421189,0,0.08,251153406,0,Rua JosÃ© Manna JÃºnior,secondary,,,2,3.0,685,685_Rua JosÃ© Manna JÃºnior,"LINESTRING (-43.017402 -22.808331, -43.017409 -22.808238, -43.017427 -22.808169, -43.017462 -22.808097)",route_359,LineString,"-22.808331,-43.017402","-22.808097,-43.017462",2,SUCCESS,0.74,2.27,0.04,3,|vejC`zpeGMGOEDQD[?[O_@I_@Kq@EWKIMKUAUDOLMRCV?VF`AJfALXHJTJZBTILOBILu@?[O_@I_@Kq@EWKIMKIAK?UDOLMRCV?VRhCVd@TJZBTIJM,,0.01,0.03,"Av. Domingos Damasceno Duarte, 990 - Trindade, São Gonçalo - RJ, 24456-422, Brasil","Praça da Trindade - Praça Leonor Corrêa, 05 - Trindade, São Gonçalo - RJ, 24457-010, Brasil",0.37,1.15,"Praça da Trindade - Praça Leonor Corrêa, 05 - Trindade, São Gonçalo - RJ, 24457-010, Brasil","Praça Leonor Corrêa, 367 - Trindade, São Gonçalo - RJ, 24457-010, Brasil",0.36,1.08,"Praça Leonor Corrêa, 367 - Trindade, São Gonçalo - RJ, 24457-010, Brasil","AvenidaTrindade, 5 - Trindade, São Gonçalo - RJ, 24456-425, Brasil",,,,,0.03639189189189189
246,0,0.088166,408193,-1,0.09,74379627,0,,trunk,,,2,6.0,685,685_74379627,"LINESTRING (-43.001605 -22.817333, -43.001643 -22.817048, -43.001675 -22.816776, -43.001689 -22.816541)",route_361,LineString,"-22.817333,-43.001605","-22.816541,-43.001689",2,SUCCESS,8.59,14.95,0.25,3,jogjCdwmeGpa@aD`Fa@rCQrC@~BHjC\bB\zA^zAf@r@XxAt@HFDL?LEJMDE@_@SaBu@k@WFQH[FOPQJCt@Rp@XPLMVuBy@a@QyAe@iCk@kAQiAMiDMoA@}@Bw@DoCRoCVsDXaDViE\sMbAqF\mAC_AQq@Oy@c@c@[k@aAq@gA_A_BcDaGmA{AJi@DAVMZIJ?J@JBDLFN@LAX{@~@W@SJORFTNXLHH?L@FFZ`@\l@z@|A|@dBj@dAPPRH^d@TV^VTL~Ab@bAP~AB`AGxLaAxDYvOoA`Fa@rCQrC@~BHjC\bB\zA^zAf@r@XxAt@HFDL?LEJMDE@_@SaBu@k@WFQH[FOPQJCt@Rp@XPLMVuBy@a@QyAe@iCk@kAQiAMiDMoA@}@Bw@DoCRoCVsDXaDViE\sMbAgF\cAAy@Iu@Qg@SaAk@IG_@u@i@u@}@_BuAaC}AsCoA_BCEJi@PITIXGZFNb@A^g@l@SRM?UBW\N`@NR\DVXVb@v@vAz@`BjAtB\Nd@j@x@p@p@T|A\~@JZ?,,4.31,7.5,"RJ-104, 310 - Alcantara, São Gonçalo - RJ, 24711-080, Brasil","R. Manoel João Gonçalves, 670 - Alcantara, São Gonçalo - RJ, 24711-080, Brasil",3.01,3.78,"R. Manoel João Gonçalves, 670 - Alcantara, São Gonçalo - RJ, 24711-080, Brasil","R. Dr. Alfredo Backer, 989 - Alcantara, São Gonçalo - RJ, 24710-395, Brasil",1.27,3.67,"R. Dr. Alfredo Backer, 989 - Alcantara, São Gonçalo - RJ, 24710-395, Brasil","R. Jovelino de Oliveira Viana, 219 - Alcantara, São Gonçalo - RJ, 24710-470, Brasil",,,,,0.010263795110593714
247,0,0.935616,411120,-1,0.83,993168312,0,,trunk,,,2,2.0,649,649_993168312,"LINESTRING (-43.06824 -22.883116, -43.068518 -22.883183, -43.068616 -22.8832, -43.068932 -22.883219, -43.069257 -22.883226, -43.06959 -22.883184, -43.06987 -22.883125, -43.070198 -22.883006, -43.070454 -22.88287, -43.070703 -22.882725, -43.070869 -22.882578, -43.071026 -22.882383, -43.071716 -22.881433, -43.071882 -22.881293, -43.072067 -22.881182, -43.07226 -22.881073, -43.07252 -22.881003, -43.072644 -22.880987, -43.072774 -22.880988, -43.073014 -22.881005, -43.073242 -22.881068, -43.073418 -22.881155, -43.073574 -22.881242, -43.073783 -22.881397, -43.074334 -22.881877, -43.074494 -22.881975, -43.074699 -22.88204, -43.074905 -22.882058, -43.075027 -22.882067, -43.075138 -22.882062, -43.075996 -22.881948)",route_362,LineString,"-22.883116,-43.068240","-22.881948,-43.075996",3,SUCCESS,13.73,24.3,0.41,4,njtjCnwzeGc@cCe@cCICMCKBIHALb@fCj@|Bd@`CFb@?fAMz@Sz@e@lAW\cAdA_Ar@{BrA_@\k@pAMv@Cp@Bn@NfATh@NXdAlAr@`ARn@DPD|@WzECj@[`FGd@M|AQ~CiC_@]Gs@G]?UDa@NQTuChB[PC\n@t@x@|@`CxB\LRA`@Ij@QN?lCLDsAFcFTeId@qHTgE@k@Co@Ic@O[m@y@sA}AYk@Qw@I}@Bo@Jy@Rm@Te@NOpA{@dAo@pAcAr@aAf@{@^qALaABo@A}@Ck@Gw@YyB}@gEKEM@KDEJPnAThA`AnEPx@Bd@GpAOx@]hAa@r@aAdA{@p@aCzASLUTc@|@Or@Ip@?j@HbATx@P\Zb@vAbBXj@Jb@Ft@UxEa@|GKv@MtBMtBYGeC]_@Em@EWBYHQHGHc@^k@\kBhAC\XZb@h@\^~BxBZTLDP?XGp@QRCrBJ\@Bg@FuFPyFBwAd@mHXeGCo@Ic@c@y@uA}Ae@q@Uq@M{@A{@Do@Je@Nc@Te@ZYjCaBpAcAr@aAf@{@Pg@Li@LaABo@A}@Ck@YuCaAaFICMCKBIHALb@fCj@|BLv@^lB?fAMz@Sz@e@lAw@`Au@p@kBnA}@f@_@\k@pAMv@Cp@Bn@NfATh@NXdAlAr@`ARn@Jt@G|BSbD[`FGd@M|AQ~CiC_@s@K]C]?UDa@NQT_Al@uAz@[PC\n@t@\`@fAdA|AtALDP@VCfAY`ABrAHDsAFcFP}Gd@uHXkF@k@Co@Ic@c@y@q@s@c@i@e@q@Uq@M{@A{@Do@No@To@Z_@|BwAr@g@v@o@Za@n@aA\w@VmAJwAC{ACg@UqBc@yBc@sBKEM@KDEJPnAbAzEd@vBBd@GpAOx@]hAa@r@MPs@r@UT_BfA{A|@UTc@|@Or@Ip@?j@HbATx@l@`AvAbBXj@P|@@ZC~@U~D]vFKv@MtBMtBYGeC]KAaAIWBYHQHGHc@^wCfBC\XZb@h@tAtAzArALFNBTCn@OZIP?hBJ\@Bg@FuFPyFBwALuB\qF,,3.64,6.35,"Rod. Amaral Peixoto, 27 - Tribobó, Niterói - RJ, 24750-491, Brasil","Rj-104 Próximo Ao 15 - Fonseca, Niterói - RJ, 24140, Brasil",3.18,5.77,"Rj-104 Próximo Ao 15 - Fonseca, Niterói - RJ, 24140, Brasil","Rod. Amaral Peixoto, 199 - Fonseca, Niterói - RJ, 24140-005, Brasil",3.33,5.93,"Rod. Amaral Peixoto, 199 - Fonseca, Niterói - RJ, 24140-005, Brasil","Rua Castro Alves, 14 - Caramujo, Niterói - RJ, 24141-015, Brasil",3.58,6.25,"Rua Castro Alves, 14 - Caramujo, Niterói - RJ, 24141-015, Brasil","Rua Castro Alves, 6 - Caramujo, Niterói - RJ, 24141-015, Brasil",0.06814391842680262
248,0,0.007869,426472,0,0.01,219356963,0,Rua Oscar Gomes,tertiary,,,2,15.0,691,691_Rua Oscar Gomes,"LINESTRING (-42.998418 -22.846775, -42.998415 -22.846846)",route_363,LineString,"-22.846775,-42.998418","-22.846846,-42.998415",0,SUCCESS,0.01,0.02,0.0,1,lgmjChcmeGHG,,0.01,0.02,"Loja 02 - Av. Profa. Aida de Souza Faria, 895 - Jóquei Clube, São Gonçalo - RJ, 24742-000, Brasil","R. Oscár Gomes, 02 - quadra 02 lj02 - Jóquei Clube, São Gonçalo - RJ, 24743-340, Brasil",,,,,,,,,,,,,0.7868999999999999
249,0,0.006392,384889,1,0.01,871216181,0,,motorway_link,,,1,18.0,640,640_871216181,"LINESTRING (-43.110497 -22.87825, -43.110475 -22.878196)",route_364,LineString,"-22.878250,-43.110497","-22.878196,-43.110475",0,SUCCESS,0.01,0.0,0.0,1,|ksjCv_cfGGG,,0.01,0.0,"Rodovia Governador Mário Covas Próximo Ao 819 - Santana, Niterói - RJ, 24110-205, Brasil","Rodovia Governador Mário Covas Próximo Ao 819 - Santana, Niterói - RJ, 24110-205, Brasil",,,,,,,,,,,,,0.6392
253,0,0.020509,420732,-1,0.02,184457382,0,Rua CapitÃ£o Alonso de Faria,tertiary,,,2,5.0,689,689_Rua CapitÃ£o Alonso de Faria,"LINESTRING (-43.054749 -22.828552, -43.054811 -22.828477, -43.054831 -22.828457, -43.054877 -22.82841)",route_370,LineString,"-22.828552,-43.054749","-22.828410,-43.054877",2,SUCCESS,2.95,9.12,0.15,3,luijCdcxeGDFHBNALM@K?AVEj@bAH^@PDLf@d@l@n@dCbC|BpBvAtAeBrBy@w@gC{B}EeEe@c@m@aABwA?QFSJOLKB@J@F?HCHS?EVEr@tAB^RX|C|ChAfAzDnDeBrBMMoAmAcEkD_CuBc@_@m@aABiBL]DENKD@H@JAFGDSVEj@bAH^@PDLf@d@rDrD|BpBvAtAeBrBy@w@qAkAmD{CkC}Bm@aABwAGm@,,0.98,3.05,"R. Alonso de Faria, 15 - Ze Garoto, São Gonçalo - RJ, 24440-370, Brasil","R. Cel. Moreira César, 19 - Centro, São Gonçalo - RJ, 24440-400, Brasil",0.98,3.05,"R. Cel. Moreira César, 19 - Centro, São Gonçalo - RJ, 24440-400, Brasil","R. Cel. Moreira César, 19 - Centro, São Gonçalo - RJ, 24440-400, Brasil",0.98,3.02,"R. Cel. Moreira César, 19 - Centro, São Gonçalo - RJ, 24440-400, Brasil","Alameda Pio XII, 15 - Centro, São Gonçalo - RJ, 24440-410, Brasil",,,,,0.006952203389830508
255,0,0.576791,402702,0,0.07,46040372,0,Avenida Nossa Senhora da Conce,tertiary,,,2,5.0,527,527_Avenida Nossa Senhora da Conce,"LINESTRING (-42.879784 -22.700828, -42.879497 -22.700771, -42.879094 -22.700748, -42.879044 -22.700745, -42.878944 -22.700749, -42.878799 -22.700773, -42.878705 -22.7008, -42.878446 -22.700876, -42.878399 -22.700897, -42.878245 -22.70096, -42.877897 -22.701084, -42.877692 -22.701161, -42.877504 -22.701237, -42.877378 -22.701289, -42.877273 -22.70135, -42.876983 -22.701519, -42.876726 -22.701672, -42.876611 -22.701756, -42.876369 -22.701957, -42.875995 -22.702244, -42.875701 -22.702505, -42.875407 -22.702786, -42.875281 -22.702899, -42.875224 -22.702964, -42.875153 -22.703053, -42.875104 -22.703184)",route_374,LineString,"-22.700828,-42.879784","-22.703184,-42.875104",3,SUCCESS,2.4,7.22,0.12,4,hwpiCt}udGFgCY??fADhAFz@J~@LfAn@lBFh@An@Kx@M^i@r@g@b@_Ap@]b@IPEZ?Lq@@_@EO?WDkAn@aAZeAVw@Fq@CsBUaAOm@QiAe@GIIMEc@?eA?{D@]F[d@{ABi@CiAA{@BQb@mA|@s@PI\GnC^t@F~AGv@Ov@]v@S~AUpAMt@@X?@_A@YHiAn@_Cb@sAfAiBl@_A`B{BpAyAp@m@JC,,0.12,1.1,"Av. Nossa Sra. da Conceição, 600 - Porto das Caixas, Itaboraí - RJ, 24830-080, Brasil","Av. Nossa Sra. da Conceição, 547 - Porto das Caixas, Itaboraí - RJ, 24830-080, Brasil",1.95,5.32,"Av. Nossa Sra. da Conceição, 547 - Porto das Caixas, Itaboraí - RJ, 24830-080, Brasil","Av. Nossa Sra. da Conceição, 327 - Porto das Caixas, Itaboraí - RJ, 24830-080, Brasil",0.32,0.77,"Av. Nossa Sra. da Conceição, 327 - Porto das Caixas, Itaboraí - RJ, 24830-080, Brasil","Av. Nossa Sra. da Conceição, 1115 - Nossa Sra. da Conceição, Itaboraí - RJ, 24830-000, Brasil",0.02,0.03,"Av. Nossa Sra. da Conceição, 1115 - Nossa Sra. da Conceição, Itaboraí - RJ, 24830-000, Brasil","Av. Nossa Sra. da Conceição, 1140 - Nossa Sra. da Conceição, Itaboraí - RJ, 24830-080, Brasil",0.24032958333333337
258,0,0.038263,425335,-1,0.04,556806162,0,,trunk_link,,,1,1.0,698,698_556806162,"LINESTRING (-42.980095 -22.806033, -42.979961 -22.806059, -42.979893 -22.806076, -42.979854 -22.806105, -42.979834 -22.806137, -42.979799 -22.806199)",route_377,LineString,"-22.806033,-42.980095","-22.806199,-42.979799",3,SUCCESS,3.12,8.7,0.14,4,vhejCppieGHb@DtC@lC?j@Dn@O`Fi@r@AyAASs@{Bw@yBs@qAg@g@cDkBvD_Cv@a@lAo@XCNAXJ@@C`@VjAFz@@nC@rCDn@O`Fi@r@?y@Am@I_@o@iBe@wA]w@We@[_@_BcA{A}@jAu@xBsAvBgA^EH?ZLC`@DVTbADtC@lC?j@Dn@O`Fi@r@AyAASeAeDe@oAa@y@c@k@UScDkBvD_Cv@a@lAo@XCNAdAb@DB,,1.04,2.88,"Avenida Bispo Dom João da Mata 797, Santa Luzia, São Gonçalo - Santa Luzia, São Gonçalo - RJ, 24725-060, Brasil","Av. Bpo. Dom João da Mata, 290 - Laranjal, São Gonçalo - RJ, 24722-525, Brasil",1.04,2.9,"Av. Bpo. Dom João da Mata, 290 - Laranjal, São Gonçalo - RJ, 24722-525, Brasil","Av. Bpo. Dom João da Mata, 290 - Laranjal, São Gonçalo - RJ, 24722-525, Brasil",1.04,2.9,"Av. Bpo. Dom João da Mata, 290 - Laranjal, São Gonçalo - RJ, 24722-525, Brasil","RJ-104, 60 - Santa Luzia, São Gonçalo - RJ, 24736-190, Brasil",0.01,0.02,"RJ-104, 60 - Santa Luzia, São Gonçalo - RJ, 24736-190, Brasil","RJ-104, 60 - Santa Luzia, São Gonçalo - RJ, 24736-190, Brasil",0.01226378205128205
261,0,0.449713,399258,1,0.02,123754748,0,Rua Doutor Paulo CÃ©sar,secondary,,,3,3.0,641,641_Rua Doutor Paulo CÃ©sar,"LINESTRING (-43.11124 -22.899012, -43.110923 -22.899188, -43.110806 -22.899234, -43.110697 -22.899267, -43.110535 -22.899316, -43.109948 -22.899355, -43.109822 -22.899378, -43.109649 -22.899413, -43.109337 -22.899475, -43.109282 -22.899486, -43.109127 -22.899517, -43.109054 -22.899531, -43.109025 -22.899537, -43.108928 -22.899544, -43.108866 -22.899542, -43.108833 -22.899539, -43.108754 -22.899519, -43.108539 -22.899475, -43.108427 -22.899444, -43.108031 -22.899336, -43.107838 -22.899281, -43.107192 -22.899099, -43.107032 -22.899052)",route_380,LineString,"-22.899012,-43.111240","-22.899052,-43.107032",3,SUCCESS,7.29,24.45,0.41,4,xmwjCfdcfGs@x@GFK@]LoAViARkGvAiDbAmC|@{C|@c@LI`AIxDMzJHPRLT@x@@l@Jh@TTBRKJIL[Nm@p@{DFm@\wHLaCBOPYzAm@PQb@MvJuBf@A|@LlEz@VFtAyAtBwB_DmDqA_Bi@m@[?IBGb@Gj@EfBSbA_@bAy@~@GFK@]LoAViARkGvAk@Ns@cDOg@EQC]Me@Yc@aB}AoA{@iA{@a@Yw@wBiClA_@P}BjAQMKKf@gBJg@Bc@?a@OiACo@o@aBg@aASe@GKAOF@nC`Cb@Tl@Pf@@l@Cd@Sb@c@p@o@p@OZMHGHOFYLIbCQ|EYpEWpG_@l@tCHj@lAjHBl@IbASvAKrAAtA@PP\rBhDl@`Ah@k@tBwBtB}BrBsBv@{@r@w@eCwCiE}EuBaC_EuEa@g@}@p@q@d@h@~BVtABTfAlAvCjDbAoAr@y@h@s@i@k@gAqAgD{D}@eAmA|@a@XLh@l@tC,,2.55,6.92,"R. Dr. Paulo César, 5 - Centro, Niterói - RJ, 24220-401, Brasil","Condomínio do Edifício Mariana - R. Dr. Paulo César, 47 - Santa Rosa, Niterói - RJ, 24220-401, Brasil",2.51,7.78,"Condomínio do Edifício Mariana - R. Dr. Paulo César, 47 - Santa Rosa, Niterói - RJ, 24220-401, Brasil","R. Mario Alves, 27 - Icaraí, Niterói - RJ, 24220-270, Brasil",1.47,6.65,"R. Mario Alves, 27 - Icaraí, Niterói - RJ, 24220-270, Brasil","R. Dr. Paulo César, 181 - Santa Rosa, Niterói - RJ, 24220-401, Brasil",0.77,3.1,"R. Dr. Paulo César, 181 - Santa Rosa, Niterói - RJ, 24220-401, Brasil","R. Dr. Paulo César, 204 - Santa Rosa, Niterói - RJ, 24220-400, Brasil",0.06168902606310013
1620,0,0.275441,58911,-1,0.06,16141737,0,Viaduto do Santana,motorway_link,,,1,30.0,638,638_Viaduto do Santana,"LINESTRING (-43.111452 -22.878977, -43.111359 -22.878881, -43.111313 -22.878811, -43.11128 -22.878739, -43.11128 -22.878664, -43.111312 -22.87859, -43.111365 -22.878533, -43.11142 -22.878503, -43.111758 -22.878503, -43.111931 -22.878511, -43.112037 -22.878526, -43.112148 -22.878581, -43.112239 -22.878672, -43.112297 -22.87876, -43.112351 -22.878842, -43.112388 -22.878903, -43.112409 -22.878984, -43.112414 -22.879079, -43.112405 -22.87918, -43.112394 -22.879223, -43.112371 -22.879317, -43.112329 -22.87944, -43.112258 -22.879561, -43.112161 -22.879667)",route_382,LineString,"-22.878977,-43.111452","-22.879667,-43.112161",3,SUCCESS,59.07,60.93,1.02,4,tpsjCpecfG^~@PrAAjAQrBq@bCk@tAo@v@kBrBgAdBaAdCiBdEmFhJqAzCsAdEa@~Au@vDu@pHoAhZsAh\sEhhAwI~uBgHffBaDtu@eBbe@BnFF~Bv@jHbAhFrBpGnDjHtEnGjLxK~IdIjMjLz\~ZjLrK~EbEHTt@j@~BjApCl@pANrDDvC[z@UtCmApHqCxHqCbEuBzHqCz@i@lAyA`BwCCi@QUc@EcAb@uDxAeDlAaNbFq@Gs@HgLdEeFtBgCjAgCt@gCC_Cm@uAe@{AuAcKeJsa@i_@_TsRsMqLiDwD_DoE}BsE{ByGmAoFq@aGUeECcEh@cRjAgXrE}hAxBcj@|Aa^dFcpAtGi~AdCkl@xAm^VgDpAgIbBkGpAyC`EoHbFcIvFiJnAmA~Bq@tB{@p@{@XcA?gBc@{Aw@aAiCcBiBu@_Da@e@OcAQm@UOc@@e@f@k@f@?d@^R\LfFFvD\r@f@XhBFhC?Va@Cc@SOWAc@Za@T{@Pu@E_@O]e@I_@AmBb@Yj@Lb@r@VfAHzAGlAa@bCiAxCeBtB}BzCaChGwGjLeCnGwBhJu@pHW`F{@nTsBvf@eEtcAcJxzBaJnyBwAv\oAd\CnCFtGlArKjBvHpBfFvEfIdHxHvRhQtUfTtYxWjFbF~EbE^h@xA|@bDdAfD`@vEGhBYlC}@|BiAlIyCbC}@nD}AjFwB`E_B|@s@rBaDb@w@?]K[m@KwElBkFnBoKzDm@TSCm@CaATeLfEqEjBaEhBqBXeCSkDiAcVmT_r@mn@gLqKeDcEsCwEiA}B{ByGmAoFq@aG[aJD_FnDk|@tCor@tCiq@|Awa@|EklAdA{VrCmq@f@qLDiCn@_NZ_G|@{TzAi]l@qFfAkFnAoE|BgFtEuH`FiIpEkHr@i@bA[~@WtAe@x@q@`@}@PwASeBc@}@mBeBaBaA}Cs@kBUaB]_@WKo@Ro@n@Sf@RV`@RfDD`CD`CN\`@d@v@PnBC~ABJKLi@MWWK]H]\i@RcAHm@M_@_@S{@KyC]EiCNWNKDJPpAbCh@nAt@~BAz@O`@c@`@aC~@kBhAsC~@oCO}AhAgAfA}@TsAJsA_@oA[bB`GLyAPoB^BrAK|@Uf@e@vAoAd@[rBJf@@vAo@xAg@`Ao@|Am@x@a@\s@j@qBNWh@WlBK~ABJKLi@MWWK]H{@l@_ALq@Im@Q]a@KaAIgEImFJ_AMGWLVhHD`CD`CN\`@d@v@PnBC~ABJKLi@MWWK]HGH,,27.93,26.78,"Av. do Contôrno, 2880 - Ilha da Conceição, Niterói - RJ, 24060, Brasil","Av. do Contôrno, 2880 - Ilha da Conceição, Niterói - RJ, 24060, Brasil",27.81,26.4,"Av. do Contôrno, 2880 - Ilha da Conceição, Niterói - RJ, 24060, Brasil","Tv. Mario Neves, 160 - Ilha da Conceição, Niterói - RJ, 24050-290, Brasil",2.31,5.57,"Tv. Mario Neves, 160 - Ilha da Conceição, Niterói - RJ, 24050-290, Brasil","Viaduto, 304 - Ilha da Conceição, Niterói - RJ, 24060, Brasil",1.02,2.18,"Viaduto, 304 - Ilha da Conceição, Niterói - RJ, 24060, Brasil","Viaduto, 104 - Ilha da Conceição, Niterói - RJ, 24060, Brasil",0.004662959200948028
1624,0,0.152021,37075,-1,0.05,1024708738,0,Avenida Vereador Carlos Robert,secondary,,,2,1.0,618,618_Avenida Vereador Carlos Robert,"LINESTRING (-43.097705 -22.931995, -43.097648 -22.932055, -43.097592 -22.932099, -43.097529 -22.932138, -43.0974 -22.932195, -43.096976 -22.932363, -43.09685 -22.932415, -43.096394 -22.932615)",route_389,LineString,"-22.931995,-43.097705","-22.932615,-43.096394",3,SUCCESS,14.84,18.25,0.3,4,~{}jCvo`fGIDIPA^Hj@Vb@FDL@NENOBM@]Mi@C]B]^sAdAkCz@oCbDqMrCkN\iBd@sCZaBrB}L`BeNZ}EZoGPyC@Wo@AQvCQfEa@xGaAzJy@`FIf@kBtJq@fDsBdKgAhFgCvJa@~AWpAo@nCo@zBQXQNGHGZ@^FZHPTVL@HALIJW@]EYKm@Hs@l@cBp@eBPk@h@cBlCqKT_ArCkNr@{DRiAtB_MTwAxA_MFe@VuDFqAh@_K@Wo@AQvCa@vIQhCaAzJy@dFiBrJw@xDk@tCmAbGgAhFgCvJa@~AWpAo@nCo@zBELWXIDIPA^Hj@Vb@FDL@NENOBM@]Mi@C]B]^sAdAkCz@oCbDqMrCkN\iBd@sCnBeL^yB`BeNZ}EZoGPyC@Wo@AQvCQfEa@xGaAzJy@`FIf@UjAkBrJoCbNgAhFgCvJa@~AWpAk@dCk@rBM^WXE@GHGZ@^FZHPTVL@HALIJW@]EYKm@Hs@l@cBp@eBPk@h@cBlCqKT_ArCkNr@{D|B_NJi@TwAxA_MFe@VuDFqAh@_K@Wo@AQvCa@vIQhCaAzJy@dFShAkBtJmAbGmAbGgAhFgCvJa@~AWpAKf@,,3.74,4.6,"Av. Pref. Silvio Picanço, 895 - Charitas, Niterói - RJ, 24360-030, Brasil","Av. Pref. Silvio Picanço, 1243 - Charitas, Niterói - RJ, 24360-030, Brasil",3.73,4.6,"Av. Pref. Silvio Picanço, 1243 - Charitas, Niterói - RJ, 24360-030, Brasil","Av. Pref. Silvio Picanço, 1243 - Charitas, Niterói - RJ, 24360-030, Brasil",3.67,4.5,"Av. Pref. Silvio Picanço, 1243 - Charitas, Niterói - RJ, 24360-030, Brasil","R. São Caetano, 8 - Charitas, Niterói - RJ, 24370-160, Brasil",3.7,4.55,"R. São Caetano, 8 - Charitas, Niterói - RJ, 24370-160, Brasil","R. São Caetano, 45 - Charitas, Niterói - RJ, 24370-160, Brasil",0.01024400269541779
1625,0,0.494854,37075,-1,0.05,1024708738,0,Avenida Vereador Carlos Robert,secondary,,,2,1.0,618,618_Avenida Vereador Carlos Robert,"LINESTRING (-43.080021 -22.936623, -43.080093 -22.936646, -43.080237 -22.936676, -43.080365 -22.936688, -43.080507 -22.936692, -43.082657 -22.936428, -43.083097 -22.936376, -43.084811 -22.936272)",route_390,LineString,"-22.936623,-43.080021","-22.936272,-43.084811",3,SUCCESS,8.79,12.97,0.22,4,tx~jCda}eGIc@TKZGJ?A{@GyAeDNGBEN@R@JJDZZX^N^JZHjAGdAI~An@@FkABe@?w@UaB`@OZCGmCAGe@BoBJU@CBAR@XRL`@b@T^Lb@Hd@Bl@En@GlACf@n@@HmABq@Ai@K}@Ic@TKZGJ?A{@GyAsBJw@DED?^@JJDZZX^N^JZHjAQdDQvCQfEa@xGaAzJy@`FIf@UjAkBrJoCbNgAhFgCvJa@~AWpAo@nCo@zBQXSPGHE`@Df@Rf@VNRCLKHe@Kq@CUAUJk@`@oAd@aAr@yBp@}BdCeKpCuM^wBh@wCtB_MHg@TuApAuKNkAVyDJkBd@eJ@Wo@AQvCa@vIQhCaAzJy@dFShAkBtJmAbGmAbGgAhFgCvJa@~AWpAo@nCo@zBQXONGDIV?^Lj@V\JDJALELSBYCYKm@AUF_@d@{Ad@aA^kAdAkDdCeKpCuMj@_DpCiPHg@@ETuApAuKDa@,,0.61,1.52,"Av. Dr. Raul de Oliveira Rodrigues, 1023-921 - Piratininga, Niterói - RJ, 24350, Brasil","Av. Dr. Raul de Oliveira Rodrigues, 1023-921 - Piratininga, Niterói - RJ, 24350, Brasil",0.59,1.48,"Av. Dr. Raul de Oliveira Rodrigues, 1023-921 - Piratininga, Niterói - RJ, 24350, Brasil","Av. Dr. Raul de Oliveira Rodrigues, 1023-921 - Piratininga, Niterói - RJ, 24350, Brasil",4.03,5.52,"Av. Dr. Raul de Oliveira Rodrigues, 1023-921 - Piratininga, Niterói - RJ, 24350, Brasil","Av. Ver. Carlos Roberto Boechat - Piratininga, Niterói - RJ, Brasil",3.57,4.45,"Av. Ver. Carlos Roberto Boechat - Piratininga, Niterói - RJ, Brasil","Av. Ver. Carlos Roberto Boechat, Niterói - RJ, Brasil",0.056297383390216164
